Pregunta;Respuesta;
¿Qué deben hacer los clientes interdictos para actuar legalmente?;Respuesta: Deben actuar representados por el Curador de Bienes designado en sentencia judicial y presentar la Inscripción del Registro de Interdicciones y Prohibiciones de Enajenar con una vigencia no superior a 6 meses.;
¿Quién representa a los clientes interdictos según una sentencia judicial?;Respuesta: El Curador de Bienes designado en sentencia judicial representa a los clientes interdictos.;
¿Qué se requiere para acreditar la calidad de curador?;Respuesta: Se requiere adjuntar una copia de la Inscripción del Registro de Interdicciones y Prohibiciones de Enajenar con una vigencia no superior a 6 meses para acreditar la calidad de curador.;
¿Cuál es la vigencia máxima de la copia de inscripción del Registro de Interdicciones y Prohibiciones de Enajenar?;Respuesta: La vigencia máxima es de 6 meses.;
¿Qué medidas debe tomar el Banco cuando tiene conocimiento de la declaración de interdicción de un cliente?;Respuesta: El Banco debe cerrar cualquier producto rotativo que el cliente tenga en el Banco, como una línea de crédito, línea automática de imprevistos o tarjeta de crédito, y el cliente debe actuar representado por el Curador de Bienes designado en sentencia judicial.;
¿Qué productos bancarios deben cerrarse en el caso de un cliente interdicto?;No se encontró respuesta;
¿Cuál es el enfoque principal del Curador de Bienes en relación con los clientes interdictos?;Respuesta: El enfoque principal del Curador de Bienes en relación con los clientes interdictos es la administración de los bienes del cliente, es decir, actos orientados a la conservación de los bienes.;
¿Cuáles son las limitaciones de actuación del Curador de Bienes?;Respuesta: El Curador de Bienes solo puede llevar a cabo acciones relacionadas con la administración de los bienes del cliente, es decir, actos orientados a la conservación de los bienes.;
¿Qué se espera que haga el Curador de Bienes en relación con los bienes del cliente interdicto?;Respuesta: El Curador de Bienes debe llevar a cabo acciones relacionadas con la administración de los bienes del cliente, es decir, actos orientados a la conservación de los bienes. Por ejemplo, recibir pagos, pagar deudas, perseguir a los deudores, interrumpir prescripciones, entre otros.;
¿Cuál es el propósito principal de la administración y conservación de los bienes del cliente interdicto?;Respuesta: El propósito principal de la administración y conservación de los bienes del cliente interdicto es la conservación de los bienes.;
¿Qué ocurre con los productos en el Banco en caso de fallecimiento del titular de una Cuenta Vista (Cuenta Preferente)?;Respuesta: Se deben cerrar los productos y dejar de operar los PAC y PAT contratados, así como los mandatos otorgados a terceros para actuar en nombre y representación del titular fallecido. En el caso de la Cuenta Corriente, si hay fondos disponibles, se deben pagar todos los cheques girados hasta la fecha del fallecimiento y la cuenta debe mantenerse abierta por aproximadamente 60 días desde la fecha de muerte que indique el certificado de defunción.;
¿Qué sucede con los PAC; PAT y los mandatos otorgados a terceros al momento del fallecimiento del cliente?;Respuesta: Se deben dejar de operar los PAC, PAT y mandatos otorgados a terceros al momento del fallecimiento del cliente.
¿Cuál es el procedimiento a seguir en caso de fallecimiento del titular de una Cuenta Corriente?;Respuesta: En caso de fallecimiento del titular de una Cuenta Corriente, se deben pagar los cheques girados hasta la fecha del fallecimiento y cerrar la línea de crédito y la tarjeta de crédito de inmediato. La Cuenta Corriente debe mantenerse abierta por aproximadamente 60 días desde la fecha de muerte que indique el certificado de defunción, aunque no se pueden seguir cobrando comisiones a partir del día del fallecimiento. Se requiere el trámite de posesión efectiva para retirar los fondos restantes y se debe presentar el Certificado de Posesión Efectiva y el Certificado del Servicio de Impuestos Internos que demuestre el pago o exención del impuesto a la herencia. No se pueden entregar los fondos existentes en la Cuenta Corriente a los herederos sin la posesión efectiva.;
¿Qué sucede con la línea de crédito y la tarjeta de crédito en caso de fallecimiento del titular?;Respuesta: La línea de crédito y la tarjeta de crédito deben cerrarse de inmediato.;
¿Se deben pagar los cheques girados antes del fallecimiento del titular?;Respuesta: Sí, se deben pagar los cheques girados antes del fallecimiento del titular de una Cuenta Corriente si hay fondos disponibles.;
¿Cómo se determina quiénes son los herederos y quién puede retirar los fondos de la cuenta?;Respuesta: Se determina quiénes son los herederos y quién puede retirar los fondos de la cuenta mediante el trámite de posesión efectiva, presentando el Certificado de Posesión Efectiva registrado en el Registro Civil y el Certificado del Servicio de Impuestos Internos que demuestre el pago o exención del impuesto a la herencia.;
¿Qué documentos se requieren para solicitar la liquidación de saldo en caso de fallecimiento del titular?;Respuesta: Se requiere el Certificado de Defunción y la documentación que acredite parentesco para solicitar la liquidación de saldo en caso de fallecimiento del titular. Además, se necesita el trámite de posesión efectiva y el Certificado del Servicio de Impuestos Internos que demuestre el pago o exención del impuesto a la herencia.;
